,city,local,parameter,value,unit
958,Barcelona,2020-02-17T09:00:00+01:00,no2,61,µg/m³
959,Barcelona,2020-02-17T08:00:00+01:00,no2,56,µg/m³
960,Barcelona,2020-02-17T07:00:00+01:00,no2,34,µg/m³
961,Barcelona,2020-02-17T06:00:00+01:00,no2,19,µg/m³
962,Barcelona,2020-02-17T05:00:00+01:00,no2,16,µg/m³
963,Barcelona,2020-02-17T04:00:00+01:00,no2,13,µg/m³
964,Barcelona,2020-02-17T03:00:00+01:00,no2,12,µg/m³
965,Barcelona,2020-02-17T02:00:00+01:00,no2,8,µg/m³
966,Barcelona,2020-02-17T01:00:00+01:00,no2,9,µg/m³
967,Barcelona,2020-02-17T00:00:00+01:00,no2,9,µg/m³
968,Barcelona,2020-02-16T23:00:00+01:00,no2,12,µg/m³
969,Barcelona,2020-02-16T22:00:00+01:00,no2,12,µg/m³
970,Barcelona,2020-02-16T21:00:00+01:00,no2,15,µg/m³
971,Barcelona,2020-02-16T20:00:00+01:00,no2,15,µg/m³
972,Barcelona,2020-02-16T19:00:00+01:00,no2,13,µg/m³
973,Barcelona,2020-02-16T18:00:00+01:00,no2,8,µg/m³
974,Barcelona,2020-02-16T17:00:00+01:00,no2,7,µg/m³
975,Barcelona,2020-02-16T16:00:00+01:00,no2,6,µg/m³
976,Barcelona,2020-02-16T15:00:00+01:00,no2,8,µg/m³
977,Barcelona,2020-02-16T14:00:00+01:00,no2,10,µg/m³
978,Barcelona,2020-02-16T13:00:00+01:00,no2,10,µg/m³
979,Barcelona,2020-02-16T12:00:00+01:00,no2,8,µg/m³
980,Barcelona,2020-02-16T11:00:00+01:00,no2,7,µg/m³
981,Barcelona,2020-02-16T10:00:00+01:00,no2,10,µg/m³
982,Barcelona,2020-02-16T09:00:00+01:00,no2,18,µg/m³
983,Barcelona,2020-02-16T08:00:00+01:00,no2,13,µg/m³
984,Barcelona,2020-02-16T07:00:00+01:00,no2,10,µg/m³
985,Barcelona,2020-02-16T06:00:00+01:00,no2,11,µg/m³
986,Barcelona,2020-02-16T05:00:00+01:00,no2,14,µg/m³
987,Barcelona,2020-02-16T04:00:00+01:00,no2,18,µg/m³
988,Barcelona,2020-02-16T03:00:00+01:00,no2,34,µg/m³
989,Barcelona,2020-02-16T02:00:00+01:00,no2,28,µg/m³
990,Barcelona,2020-02-16T01:00:00+01:00,no2,28,µg/m³
991,Barcelona,2020-02-16T00:00:00+01:00,no2,51,µg/m³
